From Marked List: 
Timespan=2005-2019. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Simulation of protein association: Kinetic pathways towards crystal contacts","Taudt, Aaron; Arnold, Axel; Pleiss, Juergen","","","","PHYSICAL REVIEW E","MAR 30 2015","2015","91","3","","","","","","033311","10.1103/PhysRevE.91.033311","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0"
"An efficient self-optimized sampling method for rare events in nonequilibrium systems","Jiang HuiJun; Pu MingFeng; Hou ZhongHuai","","","","SCIENCE CHINA-CHEMISTRY","JAN 2014","2014","57","1","","","SI","165","171","","10.1007/s11426-013-5009-3","","","5","0.83","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0"
"Forward-flux sampling with jumpy order parameters","Haji-Akbari, Amir","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 21 2018","2018","149","7","","","","","","072303","10.1063/1.5018303","","","4","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Kinetics and Reaction Coordinates of the Reassembly of Protein Fragments Via Forward Flux Sampling","Borrero, Ernesto E.; Martinez, Lydia M. Contreras; DeLisa, Matthew P.; Escobedo, Fernando A.","","","","BIOPHYSICAL JOURNAL","MAY 5 2010","2010","98","9","","","","1911","1920","","10.1016/j.bpj.2009.12.4329","","","4","0.40","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0"
"Crystallization of hard spheres revisited. I. Extracting kinetics and free energy landscape from forward flux sampling","Richard, David; Speck, Thomas","","","","JOURNAL OF CHEMICAL PHYSICS","MAR 28 2018","2018","148","12","","","","","","124110","10.1063/1.5016277","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Forward flux sampling calculation of homogeneous nucleation rates from aqueous NaCl solutions","Jiang, Hao; Haji-Akbari, Amir; Debenedetti, Pablo G.; Panagiotopoulos, Athanassios Z.","","","","JOURNAL OF CHEMICAL PHYSICS","JAN 28 2018","2018","148","4","","","","","","044505","10.1063/1.5016554","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Molecular Basis for K63-Linked Ubiquitination Processes in Double-Strand DNA Break Repair: A Focus on Kinetics and Dynamics","Lee, Brian L.; Singh, Anamika; Glover, J. N. Mark; Hendzel, Michael J.; Spyracopoulos, Leo","","","","JOURNAL OF MOLECULAR BIOLOGY","NOV 10 2017","2017","429","22","","","SI","3409","3429","","10.1016/j.jmb.2017.05.029","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Primary Fibril Nucleation of Aggregation Prone Tau Fragments PHF6 and PHF6*","Smit, Florent X.; Luiken, Jurriaan A.; Bolhuis, Peter G.","","","","JOURNAL OF PHYSICAL CHEMISTRY B","APR 20 2017","2017","121","15","","","","3250","3261","","10.1021/acs.jpcb.6b07045","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0"
"Rare-event sampling for driven inertial systems via the nonequilibrium distribution function","Williams, Stephen R.","","","","PHYSICAL REVIEW E","OCT 7 2013","2013","88","4","","","","","","043301","10.1103/PhysRevE.88.043301","","","3","0.43","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"How does degree heterogeneity affect nucleation on complex networks?","Chen, Hanshuang; Li, Shuxian; Hou, Zhonghuai; He, Gang; Huang, Feng; Shen, Chuansheng","","","","JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT","SEP 2013","2013","","","","","","","","P09014","10.1088/1742-5468/2013/09/P09014","","","3","0.43","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"Nucleation pathways on complex networks","Shen, Chuansheng; Chen, Hanshuang; Ye, Miaolin; Hou, Zhonghuai","","","","CHAOS","MAR 2013","2013","23","1","","","","","","013112","10.1063/1.4790832","","","3","0.43","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"Numerical Determination of the Translocation Rate of Particles Through a Pore","Geier, Stephanie; Pablo Hernandez-Ortiz, Juan; de Pablo, Juan Jose","","","","CHEMIE INGENIEUR TECHNIK","JUN 2011","2011","83","6","","","","900","906","","10.1002/cite.201000218","","","3","0.33","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0"
